Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum_of_Ground,Sum_of_Fatalities_air,Sum_of_Aboard
2012,Qtr 1,January,30,Congo,Antonov,Antonov AN 289Q,Namoya Congo,Aviation Congo TRACEP,0,3,5
2012,Qtr 1,March,15,Puerto,Convair,Convair CV 340N153JR,Near San Juan Puerto,Express One RicoJet,0,2,2
2012,Qtr 1,March,16,Afghanistan,Sikorsky,Sikorsky S 70A,Kabul Afghanistan,(NATO) Army Turkish - Military,4,12,12
2012,Qtr 2,April,2,Russia,ATR,ATR 72 201VP,Tyumen Russia,UTAir,0,33,43
2012,Qtr 2,April,20,Pakistan,Boeing,Boeing 737 236AP,Islamabad Pakistan,Airlines Bhoja,0,127,127
2012,Qtr 2,April,30,Colombia,Bell 212FAC,Bell 212FAC 4020,Sabanagrande Colombia,Colombiana Aerea -Fuerza Military,0,13,13
2012,Qtr 2,May,9,Indonesia,Sukhoi Superjet,Sukhoi Superjet 100 95RA,Near Cidahu Indonesia,Sukhoi,0,45,45
2012,Qtr 2,May,14,Nepal,Dornier,Dornier 228 2129N,Jomsom Nepal,Air Agni,0,15,21
2012,Qtr 2,June,2,Ghana,Boeing,Boeing B 727,Accra Ghana,Air Allied,12,0,4
2012,Qtr 2,June,3,Nigeria,McDonnell Douglas,McDonnell Douglas MD 835N,Lagos Nigeria,Air Dana,10,153,153
2012,Qtr 2,June,6,Mount,Sikorsly,Sikorsly S 58ETOB,Hualla Hualla Mount,Peru Heli          Mamarosa Cusco,0,14,14
2012,Qtr 2,June,11,Russia,Antonov,Antonov An 2RRA,Near Serov Russia,flight Illegal,0,13,13
2012,Qtr 2,June,21,Indonesia,Fokker,Fokker F 27 Friendship 400MA,Jakarta Indonesia,Force Air Indonesian - Military,4,7,7
2012,Qtr 3,August,18,Philippines,PA,PA  34,Off Masbate Island Philippines,Inc. Fly'n Aviatour's,0,3,4
2012,Qtr 3,August,19,Sudan,Antonov,Antonov An 26,Talodi Sudan,Airlines Alfa,0,32,32
2012,Qtr 3,September,12,Russia,Antonov,Antonov AN 28RA,Near Palana Russia,Enteprise Air Petropavlovsk-Kamchatsky,0,10,14
2012,Qtr 3,September,28,Nepal,Dornier,Dornier 228 2029N,Kathmandu Nepal,Air Sita,0,19,19
2012,Qtr 4,October,7,Sudan,Antonov,Antonov An 12BPST,Near Omdurman Sudan,Force Air Sudanese - Military,0,15,22
2012,Qtr 4,November,21,Yemen,Antonov,Antonov An 26420,San'a Yemen,Force Air Yemen - Military,0,10,10
2012,Qtr 4,November,30,Congo,Ilysushin,Ilysushin Il 76TEK,Near Brazzaville Congo,Service Aero,25,7,7
2012,Qtr 4,December,5,South,Douglas,Douglas C47 TP6840,Near Ladysmith South,Force Air African South - AfricaMilitary,0,11,11
2012,Qtr 4,December,9,Mexico,Learjet,Learjet 25N345MC,Near Iturbide Mexico,LLC Management Starwood,0,7,7
2012,Qtr 4,December,25,Kazakhstan,Antonov,Antonov AN 72,Near Shymkent Kazakhstan,Guards Border Kazakhstan - Military,0,27,27
2012,Qtr 4,December,25,Myanmar,Fokker,Fokker 100XY AGC,Heho Myanmar,Bagan Air,1,1,71
2012,Qtr 4,December,29,Russia,Tupolev,Tupolev TU 204,Moscow Russia,Airlines Wings Red,0,5,8
